VB,BEB'X,PB',BEBX,VB',XB',XX,AX,BEAX,RB',EB',PX,NX,RX,EB,Bandgap
11,-3.046107912,17.8,-2.403892393,3,1.36,2.66,3.0590368,-3.400777446,0.885,3.929120006,4.7,53,1.273333333,2.962960005,2.0558
1,-3.046107912,17.8,-3.689630919,3,1.36,2.66,3.0590368,-3.276070522,0.885,3.929120006,4.7,53,1.273333333,1.656720003,2.0594
1,-3.823327814,6.8,-3.400777446,3,1.61,2.66,3.0590368,-3.689630919,0.675,3.441360006,4.7,53,1.273333333,0.795600001,2.0668
11,-3.046107912,17.8,-2.403892393,3,1.36,2.66,3.0590368,-3.277171207,0.885,3.929120006,4.7,53,1.273333333,2.962960005,2.0696
1,-3.823327814,6.8,-3.400777446,3,1.61,2.66,3.0590368,-3.154280889,0.675,3.441360006,4.7,53,1.273333333,0.795600001,2.0753
1,-3.046107912,17.8,-3.689630919,3,1.36,2.66,3.0590368,-3.277171207,0.885,3.929120006,4.7,53,1.273333333,1.656720003,2.078
1,-2.628635934,7.4,-3.154280889,5,2.02,2.66,3.0590368,-3.400777446,1.035,2.179840003,4.7,53,1.273333333,1.118000002,2.1194
1,-2.628635934,7.4,-3.154280889,5,2.02,2.66,3.0590368,-3.277171207,1.035,2.179840003,4.7,53,1.273333333,1.118000002,2.1199
1,-2.628635934,7.4,-3.154280889,5,2.02,2.66,3.0590368,-3.276070522,1.035,2.179840003,4.7,53,1.273333333,1.118000002,2.1205
1,-3.823327814,6.8,-3.400777446,3,1.61,2.66,3.0590368,-3.277171207,0.675,3.441360006,4.7,53,1.273333333,0.795600001,2.1239
1,-3.823327814,6.8,-3.400777446,3,1.61,2.66,3.0590368,-3.276070522,0.675,3.441360006,4.7,53,1.273333333,0.795600001,2.1426
1,-3.046107912,17.8,-3.154280889,3,1.36,2.66,3.0590368,-3.689630919,0.885,3.929120006,4.7,53,1.273333333,1.118000002,2.144
1,-3.046107912,17.8,-3.154280889,3,1.36,2.66,3.0590368,-3.276070522,0.885,3.929120006,4.7,53,1.273333333,1.118000002,2.194
1,-4.29223865,6.6,-4.393533774,5,2.05,3.98,3.4011897,-5.73747418,0.83,2.749760004,0.557,9,0.705,0.841360001,2.2635
1,-4.29223865,6.6,-4.393533774,5,2.05,3.98,3.4011897,-4.55891026,0.83,2.749760004,0.557,9,0.705,0.841360001,2.336
1,-2.628635934,7.4,-3.400777446,5,2.02,2.66,3.0590368,-3.154280889,1.035,2.179840003,4.7,53,1.273333333,0.795600001,2.3476
1,-2.628635934,7.4,-3.400777446,5,2.02,2.66,3.0590368,-3.689630919,1.035,2.179840003,4.7,53,1.273333333,0.795600001,2.3527
1,-2.709008248,6.6,-3.277171207,5,2.05,2.66,3.0590368,-3.400777446,0.83,2.749760004,4.7,53,1.273333333,0.841360001,2.378
1,-2.709008248,6.6,-3.277171207,5,2.05,2.66,3.0590368,-3.276070522,0.83,2.749760004,4.7,53,1.273333333,0.841360001,2.3783
1,-2.709008248,6.6,-3.277171207,5,2.05,2.66,3.0590368,-3.277171207,0.83,2.749760004,4.7,53,1.273333333,0.841360001,2.379
1,-3.046107912,17.8,-3.277171207,3,1.36,2.66,3.0590368,-3.276070522,0.885,3.929120006,4.7,53,1.273333333,0.841360001,2.3863
1,-2.628635934,7.4,-3.277171207,5,2.02,2.66,3.0590368,-3.689630919,1.035,2.179840003,4.7,53,1.273333333,0.841360001,2.3882
11,-4.0354713,7.4,-3.178730516,5,2.02,3.98,3.4011897,-4.540020928,1.035,2.179840003,0.557,9,0.705,2.962960005,2.3885
1,-3.046107912,17.8,-3.277171207,3,1.36,2.66,3.0590368,-3.277171207,0.885,3.929120006,4.7,53,1.273333333,0.841360001,2.3905
1,-2.628635934,7.4,-3.277171207,5,2.02,2.66,3.0590368,-3.154280889,1.035,2.179840003,4.7,53,1.273333333,0.841360001,2.3971
1,-3.046107912,17.8,-3.277171207,3,1.36,2.66,3.0590368,-3.400777446,0.885,3.929120006,4.7,53,1.273333333,0.841360001,2.4035
11,-5.617144145,8.12,-3.178730516,3,1.81,3.98,3.4011897,-4.393533774,0.76,2.828384005,0.557,9,0.705,2.962960005,2.4146
1,-2.709008248,6.6,-3.400777446,5,2.05,2.66,3.0590368,-3.276070522,0.83,2.749760004,4.7,53,1.273333333,0.795600001,2.4175
1,-2.709008248,6.6,-3.400777446,5,2.05,2.66,3.0590368,-3.277171207,0.83,2.749760004,4.7,53,1.273333333,0.795600001,2.4186
1,-2.709008248,6.6,-3.400777446,5,2.05,2.66,3.0590368,-3.400777446,0.83,2.749760004,4.7,53,1.273333333,0.795600001,2.4193
1,-3.046107912,17.8,-3.400777446,3,1.36,2.66,3.0590368,-3.276070522,0.885,3.929120006,4.7,53,1.273333333,0.795600001,2.4388
1,-3.046107912,17.8,-3.400777446,3,1.36,2.66,3.0590368,-3.277171207,0.885,3.929120006,4.7,53,1.273333333,0.795600001,2.4448
11,-4.0354713,7.4,-3.178730516,5,2.02,3.98,3.4011897,-4.393533774,1.035,2.179840003,0.557,9,0.705,2.962960005,2.5407
11,-4.0354713,7.4,-3.178730516,5,2.02,3.98,3.4011897,-4.699781335,1.035,2.179840003,0.557,9,0.705,2.962960005,2.7588
1,-2.628635934,7.4,-3.400777446,5,2.02,2.66,3.0590368,-3.400777446,1.035,2.179840003,4.7,53,1.273333333,0.795600001,2.8473
1,-4.0354713,7.4,-4.393533774,5,2.02,3.98,3.4011897,-5.73747418,1.035,2.179840003,0.557,9,0.705,0.841360001,2.988
11,-6.088833224,17.8,-3.178730516,3,1.36,3.98,3.4011897,-4.540020928,0.885,3.929120006,0.557,9,0.705,2.962960005,3.0266
1,-4.0354713,7.4,-4.393533774,5,2.02,3.98,3.4011897,-4.55891026,1.035,2.179840003,0.557,9,0.705,0.841360001,3.029
1,-4.29223865,6.6,-4.55891026,5,2.05,3.98,3.4011897,-5.73747418,0.83,2.749760004,0.557,9,0.705,1.118000002,3.1479
1,-4.29223865,6.6,-4.699781335,5,2.05,3.98,3.4011897,-4.393533774,0.83,2.749760004,0.557,9,0.705,0.795600001,3.3536
11,-6.088833224,17.8,-3.178730516,3,1.36,3.98,3.4011897,-4.699781335,0.885,3.929120006,0.557,9,0.705,2.962960005,3.6463
1,-4.0354713,7.4,-4.699781335,5,2.02,3.98,3.4011897,-4.540020928,1.035,2.179840003,0.557,9,0.705,0.795600001,3.7463
1,-4.29223865,6.6,-4.393533774,5,2.05,3.98,3.4011897,-4.393533774,0.83,2.749760004,0.557,9,0.705,0.841360001,3.7748
1,-4.29223865,6.6,-4.699781335,5,2.05,3.98,3.4011897,-4.699781335,0.83,2.749760004,0.557,9,0.705,0.795600001,3.7938
1,-4.29223865,6.6,-5.73747418,5,2.05,3.98,3.4011897,-4.540020928,0.83,2.749760004,0.557,9,0.705,1.656720003,4.1086
1,-4.29223865,6.6,-5.73747418,5,2.05,3.98,3.4011897,-4.699781335,0.83,2.749760004,0.557,9,0.705,1.656720003,4.1239
1,-4.29223865,6.6,-4.55891026,5,2.05,3.98,3.4011897,-4.393533774,0.83,2.749760004,0.557,9,0.705,1.118000002,4.1336
1,-4.0354713,7.4,-5.73747418,5,2.02,3.98,3.4011897,-5.73747418,1.035,2.179840003,0.557,9,0.705,1.656720003,4.1573
1,-4.0354713,7.4,-4.393533774,5,2.02,3.98,3.4011897,-4.540020928,1.035,2.179840003,0.557,9,0.705,0.841360001,4.1576
1,-5.363237215,9.1,-4.393533774,3,1.78,3.98,3.4011897,-5.73747418,0.94,2.527200004,0.557,9,0.705,0.841360001,4.1823
1,-4.29223865,6.6,-5.73747418,5,2.05,3.98,3.4011897,-4.393533774,0.83,2.749760004,0.557,9,0.705,1.656720003,4.2078
1,-5.363237215,9.1,-4.393533774,3,1.78,3.98,3.4011897,-4.55891026,0.94,2.527200004,0.557,9,0.705,0.841360001,4.2141
1,-4.29223865,6.6,-4.55891026,5,2.05,3.98,3.4011897,-4.699781335,0.83,2.749760004,0.557,9,0.705,1.118000002,4.2509
1,-5.617144145,8.12,-4.699781335,3,1.81,3.98,3.4011897,-5.73747418,0.76,2.828384005,0.557,9,0.705,0.795600001,4.3091
1,-4.0354713,7.4,-5.73747418,5,2.02,3.98,3.4011897,-4.55891026,1.035,2.179840003,0.557,9,0.705,1.656720003,4.333
1,-5.617144145,8.12,-4.699781335,3,1.81,3.98,3.4011897,-4.55891026,0.76,2.828384005,0.557,9,0.705,0.795600001,4.3563
1,-6.088833224,17.8,-4.699781335,3,1.36,3.98,3.4011897,-5.73747418,0.885,3.929120006,0.557,9,0.705,0.795600001,4.3799
1,-6.088833224,17.8,-4.699781335,3,1.36,3.98,3.4011897,-4.55891026,0.885,3.929120006,0.557,9,0.705,0.795600001,4.4185
1,-4.0354713,7.4,-5.73747418,5,2.02,3.98,3.4011897,-4.540020928,1.035,2.179840003,0.557,9,0.705,1.656720003,4.8663
1,-5.363237215,9.1,-5.73747418,3,1.78,3.98,3.4011897,-5.73747418,0.94,2.527200004,0.557,9,0.705,1.656720003,4.8697
1,-6.818069793,6.8,-4.393533774,3,1.61,3.98,3.4011897,-4.55891026,0.675,3.441360006,0.557,9,0.705,0.841360001,4.8732
1,-4.0354713,7.4,-5.73747418,5,2.02,3.98,3.4011897,-4.699781335,1.035,2.179840003,0.557,9,0.705,1.656720003,4.8814
1,-4.0354713,7.4,-4.55891026,5,2.02,3.98,3.4011897,-4.393533774,1.035,2.179840003,0.557,9,0.705,1.118000002,4.9278
1,-5.363237215,9.1,-4.55891026,3,1.78,3.98,3.4011897,-4.393533774,0.94,2.527200004,0.557,9,0.705,1.118000002,5.2802
1,-5.363237215,9.1,-5.73747418,3,1.78,3.98,3.4011897,-4.540020928,0.94,2.527200004,0.557,9,0.705,1.656720003,5.2851
1,-5.363237215,9.1,-4.55891026,3,1.78,3.98,3.4011897,-4.699781335,0.94,2.527200004,0.557,9,0.705,1.118000002,5.3199
1,-5.617144145,8.12,-4.699781335,3,1.81,3.98,3.4011897,-4.540020928,0.76,2.828384005,0.557,9,0.705,0.795600001,5.3339
1,-5.617144145,8.12,-4.55891026,3,1.81,3.98,3.4011897,-4.55891026,0.76,2.828384005,0.557,9,0.705,1.118000002,5.338
1,-5.617144145,8.12,-4.55891026,3,1.81,3.98,3.4011897,-5.73747418,0.76,2.828384005,0.557,9,0.705,1.118000002,5.3488
1,-5.363237215,9.1,-4.393533774,3,1.78,3.98,3.4011897,-4.699781335,0.94,2.527200004,0.557,9,0.705,0.841360001,5.4004
1,-6.088833224,17.8,-4.55891026,3,1.36,3.98,3.4011897,-5.73747418,0.885,3.929120006,0.557,9,0.705,1.118000002,5.503
1,-6.088833224,17.8,-4.699781335,3,1.36,3.98,3.4011897,-4.540020928,0.885,3.929120006,0.557,9,0.705,0.795600001,5.5097
1,-5.617144145,8.12,-4.699781335,3,1.81,3.98,3.4011897,-4.393533774,0.76,2.828384005,0.557,9,0.705,0.795600001,5.5413
1,-5.617144145,8.12,-4.393533774,3,1.81,3.98,3.4011897,-4.540020928,0.76,2.828384005,0.557,9,0.705,0.841360001,5.5843
1,-6.088833224,17.8,-4.55891026,3,1.36,3.98,3.4011897,-4.55891026,0.885,3.929120006,0.557,9,0.705,1.118000002,5.5946
1,-6.818069793,6.8,-4.699781335,3,1.61,3.98,3.4011897,-4.540020928,0.675,3.441360006,0.557,9,0.705,0.795600001,5.6487
1,-6.818069793,6.8,-5.73747418,3,1.61,3.98,3.4011897,-5.73747418,0.675,3.441360006,0.557,9,0.705,1.656720003,6.4887
1,-6.818069793,6.8,-4.393533774,3,1.61,3.98,3.4011897,-4.699781335,0.675,3.441360006,0.557,9,0.705,0.841360001,6.4919
1,-5.617144145,8.12,-4.55891026,3,1.81,3.98,3.4011897,-4.540020928,0.76,2.828384005,0.557,9,0.705,1.118000002,5.9728
1,-5.617144145,8.12,-5.73747418,3,1.81,3.98,3.4011897,-4.393533774,0.76,2.828384005,0.557,9,0.705,1.656720003,6.0214
1,-6.088833224,17.8,-5.73747418,3,1.36,3.98,3.4011897,-4.55891026,0.885,3.929120006,0.557,9,0.705,1.656720003,6.0395
1,-5.617144145,8.12,-5.73747418,3,1.81,3.98,3.4011897,-5.73747418,0.76,2.828384005,0.557,9,0.705,1.656720003,5.7662
1,-6.088833224,17.8,-4.699781335,3,1.36,3.98,3.4011897,-4.393533774,0.885,3.929120006,0.557,9,0.705,0.795600001,5.7765
1,-6.818069793,6.8,-4.55891026,3,1.61,3.98,3.4011897,-5.73747418,0.675,3.441360006,0.557,9,0.705,1.118000002,5.8103
1,-5.617144145,8.12,-5.73747418,3,1.81,3.98,3.4011897,-4.699781335,0.76,2.828384005,0.557,9,0.705,1.656720003,5.8125
4,-1.288829967,5.75,-3.870140802,12,1.65,2.66,3.0590368,-3.400777446,0.88,1.356160002,4.7,53,1.273333333,2.030080003,0.3564
4,-2.072539693,10.6,-3.976541798,2,1.31,2.66,3.0590368,-3.276070522,0.86,1.529840002,4.7,53,1.273333333,3.132480005,1.5178
4,-2.072539693,10.6,-3.976541798,2,1.31,2.66,3.0590368,-3.277171207,0.86,1.529840002,4.7,53,1.273333333,3.132480005,1.5319
4,-2.650169631,5.6,-4.233328196,2,1.57,2.66,3.0590368,-3.154280889,0.59,3.369600005,4.7,53,1.273333333,3.868800006,0.7918
4,-2.650169631,5.6,-4.233328196,2,1.57,2.66,3.0590368,-3.277171207,0.59,3.369600005,4.7,53,1.273333333,3.868800006,0.9045
4,-5.897092546,5.6,-6.409916222,2,1.57,3.98,3.4011897,-2.766317607,0.59,3.369600005,0.557,9,0.705,3.868800006,0.4363
2,-2.072539693,10.6,-2.650169631,2,1.31,2.66,3.0590368,-3.154280889,0.86,1.529840002,4.7,53,1.273333333,3.369600005,0.3714
2,-4.070800974,6.2,-5.897092546,11,1.9,3.98,3.4011897,-4.55891026,0.82,3.508960006,0.557,9,0.705,3.369600005,0.0034
2,-2.072539693,10.6,-2.650169631,2,1.31,2.66,3.0590368,-3.276070522,0.86,1.529840002,4.7,53,1.273333333,3.369600005,0.4317
2,-3.751960163,9.4,-5.897092546,7,1.55,3.98,3.4011897,-3.178730516,0.648333333,2.946320005,0.557,9,0.705,3.369600005,0.1524
2,-1.288829967,5.75,-2.072539693,12,1.65,2.66,3.0590368,-3.277171207,0.88,1.356160002,4.7,53,1.273333333,1.529840002,0.073
2,-1.288829967,5.75,-3.015577986,12,1.65,2.66,3.0590368,-3.276070522,0.88,1.356160002,4.7,53,1.273333333,1.849120003,1.4376
2,-1.288829967,5.75,-3.015577986,12,1.65,2.66,3.0590368,-3.400777446,0.88,1.356160002,4.7,53,1.273333333,1.849120003,1.3705
2,-1.046595196,7.5,-3.345271088,9,1.91,2.66,3.0590368,-3.276070522,0.768333333,4.437680007,4.7,53,1.273333333,1.862640003,0.0028
2,-1.046595196,7.5,-3.345271088,9,1.91,2.66,3.0590368,-3.277171207,0.768333333,4.437680007,4.7,53,1.273333333,1.862640003,0.0019
2,-2.190810671,4.8,-3.345271088,10,2.2,2.66,3.0590368,-3.277171207,0.84625,3.916640006,4.7,53,1.273333333,1.862640003,0.0105
2,-2.998163763,6.5,-3.345271088,10,2.28,2.66,3.0590368,-3.277171207,0.805,5.883280009,4.7,53,1.273333333,1.862640003,0.0008
2,-4.554997046,6.8,-3.345271088,10,1.88,2.66,3.0590368,-3.400777446,0.74,4.473040007,4.7,53,1.273333333,1.862640003,0.434
1,-3.534946316,9.1,-3.689630919,3,1.78,2.66,3.0590368,-3.276070522,0.94,2.527200004,4.7,53,1.273333333,1.656720003,0.3824
11,-2.709008248,6.6,-3.015509414,5,2.05,2.66,3.0590368,-3.276070522,0.83,2.749760004,4.7,53,1.273333333,3.508960006,0.0007
11,-2.628635934,7.4,-2.223243462,5,2.02,2.66,3.0590368,-3.276070522,1.035,2.179840003,4.7,53,1.273333333,3.829280006,0.0074
1,-3.534946316,9.1,-3.154280889,3,1.78,2.66,3.0590368,-3.277171207,0.94,2.527200004,4.7,53,1.273333333,1.118000002,0.6439
11,-2.709008248,6.6,-2.403892393,5,2.05,2.66,3.0590368,-3.277171207,0.83,2.749760004,4.7,53,1.273333333,2.962960005,0.2758
11,-2.628635934,7.4,-2.223243462,5,2.02,2.66,3.0590368,-3.277171207,1.035,2.179840003,4.7,53,1.273333333,3.829280006,0.0073
11,-2.709008248,6.6,-2.223243462,5,2.05,2.66,3.0590368,-3.400777446,0.83,2.749760004,4.7,53,1.273333333,3.829280006,0.0192
4,-2.072539693,10.6,-3.976541798,2,1.31,2.66,3.0590368,-3.400777446,0.86,1.529840002,4.7,53,1.273333333,3.132480005,1.5661
4,-5.897092546,5.6,-6.409916222,2,1.57,3.98,3.4011897,-3.178730516,0.59,3.369600005,0.557,9,0.705,3.868800006,1.7737
2,-3.751960163,9.4,-5.897092546,7,1.55,3.98,3.4011897,-4.55891026,0.648333333,2.946320005,0.557,9,0.705,3.369600005,2.2125
2,-1.583164824,9.4,-3.345271088,7,1.55,2.66,3.0590368,-3.277171207,0.648333333,2.946320005,4.7,53,1.273333333,1.862640003,1.7487
2,-1.288829967,5.75,-3.015577986,12,1.65,2.66,3.0590368,-3.277171207,0.88,1.356160002,4.7,53,1.273333333,1.849120003,1.4013
4,-2.072539693,10.6,-3.870140802,2,1.31,2.66,3.0590368,-3.276070522,0.86,1.529840002,4.7,53,1.273333333,2.030080003,2.0195
4,-2.072539693,10.6,-3.870140802,2,1.31,2.66,3.0590368,-3.277171207,0.86,1.529840002,4.7,53,1.273333333,2.030080003,2.0039
1,-2.709008248,6.6,-3.154280889,5,2.05,2.66,3.0590368,-3.276070522,0.83,2.749760004,4.7,53,1.273333333,1.118000002,1.8546
1,-2.709008248,6.6,-3.154280889,5,2.05,2.66,3.0590368,-3.277171207,0.83,2.749760004,4.7,53,1.273333333,1.118000002,1.8535
1,-2.709008248,6.6,-3.154280889,5,2.05,2.66,3.0590368,-3.400777446,0.83,2.749760004,4.7,53,1.273333333,1.118000002,1.8914
10,-1.288829967,5.75,-4.554997046,12,1.65,2.66,3.0590368,-3.154280889,0.88,1.356160002,4.7,53,1.273333333,4.473040007,0.0098
10,-1.288829967,5.75,-4.554997046,12,1.65,2.66,3.0590368,-3.276070522,0.88,1.356160002,4.7,53,1.273333333,4.473040007,0.0028
4,-2.650169631,5.6,-3.870140802,2,1.57,2.66,3.0590368,-3.400777446,0.59,3.369600005,4.7,53,1.273333333,2.030080003,1.3676
4,-2.072539693,10.6,-4.233328196,2,1.31,2.66,3.0590368,-3.400777446,0.86,1.529840002,4.7,53,1.273333333,3.868800006,0.7534
2,-2.71233833,7.6,-5.897092546,9,2.2,3.98,3.4011897,-5.73747418,0.765,6.957600011,0.557,9,0.705,3.369600005,0.006
2,-2.837697502,7.5,-5.897092546,9,1.91,3.98,3.4011897,-4.55891026,0.768333333,4.437680007,0.557,9,0.705,3.369600005,0.0039
2,-2.71233833,7.6,-5.897092546,9,2.2,3.98,3.4011897,-4.55891026,0.765,6.957600011,0.557,9,0.705,3.369600005,0.006
4,-2.650169631,5.6,-3.976541798,2,1.57,2.66,3.0590368,-3.154280889,0.59,3.369600005,4.7,53,1.273333333,3.132480005,0.427544469
4,-2.650169631,5.6,-3.976541798,2,1.57,2.66,3.0590368,-3.277171207,0.59,3.369600005,4.7,53,1.273333333,3.132480005,0.286070623
4,-1.583164824,9.4,-3.870140802,7,1.55,2.66,3.0590368,-3.276070522,0.648333333,2.946320005,4.7,53,1.273333333,2.030080003,1.0382
4,-1.583164824,9.4,-3.870140802,7,1.55,2.66,3.0590368,-3.277171207,0.648333333,2.946320005,4.7,53,1.273333333,2.030080003,1.053
4,-3.349766345,5.5,-3.870140802,6,2.1,2.66,3.0590368,-3.277171207,1.293333333,2.044640003,4.7,53,1.273333333,2.030080003,0.0045
4,-3.349766345,5.5,-3.870140802,6,2.1,2.66,3.0590368,-3.400777446,1.293333333,2.044640003,4.7,53,1.273333333,2.030080003,0.0039
4,-1.288829967,5.75,-3.976541798,12,1.65,2.66,3.0590368,-3.276070522,0.88,1.356160002,4.7,53,1.273333333,3.132480005,0.335
4,-1.288829967,5.75,-4.233328196,12,1.65,2.66,3.0590368,-3.276070522,0.88,1.356160002,4.7,53,1.273333333,3.868800006,0.3832
2,-1.288829967,5.75,-2.650169631,12,1.65,2.66,3.0590368,-3.154280889,0.88,1.356160002,4.7,53,1.273333333,3.369600005,0.0004
2,-1.288829967,5.75,-2.650169631,12,1.65,2.66,3.0590368,-3.276070522,0.88,1.356160002,4.7,53,1.273333333,3.369600005,0.0011
2,-3.015509414,6.2,-3.345271088,11,1.9,2.66,3.0590368,-3.400777446,0.82,3.508960006,4.7,53,1.273333333,1.862640003,0.001
11,-2.628635934,7.4,-3.015509414,5,2.02,2.66,3.0590368,-3.400777446,1.035,2.179840003,4.7,53,1.273333333,3.508960006,0.3173
4,-1.583164824,9.4,-4.233328196,7,1.55,2.66,3.0590368,-3.276070522,0.648333333,2.946320005,4.7,53,1.273333333,3.868800006,0.5361
2,-1.583164824,9.4,-2.650169631,7,1.55,2.66,3.0590368,-3.154280889,0.648333333,2.946320005,4.7,53,1.273333333,3.369600005,0.0114
2,-1.583164824,9.4,-2.650169631,7,1.55,2.66,3.0590368,-3.276070522,0.648333333,2.946320005,4.7,53,1.273333333,3.369600005,0.1434
2,-1.583164824,9.4,-2.072539693,7,1.55,2.66,3.0590368,-3.276070522,0.648333333,2.946320005,4.7,53,1.273333333,1.529840002,0.987
2,-1.583164824,9.4,-2.072539693,7,1.55,2.66,3.0590368,-3.277171207,0.648333333,2.946320005,4.7,53,1.273333333,1.529840002,0.9915
2,-1.583164824,9.4,-3.015577986,7,1.55,2.66,3.0590368,-3.276070522,0.648333333,2.946320005,4.7,53,1.273333333,1.849120003,1.7578
2,-1.583164824,9.4,-3.015577986,7,1.55,2.66,3.0590368,-3.277171207,0.648333333,2.946320005,4.7,53,1.273333333,1.849120003,1.7954
2,-1.583164824,9.4,-3.034095072,7,1.55,2.66,3.0590368,-3.276070522,0.648333333,2.946320005,4.7,53,1.273333333,1.705600003,1.7944
2,-1.583164824,9.4,-3.034095072,7,1.55,2.66,3.0590368,-3.277171207,0.648333333,2.946320005,4.7,53,1.273333333,1.705600003,1.8271
1,-3.015577986,8.12,-3.276070522,3,1.81,2.66,3.0590368,-3.400777446,0.76,2.828384005,4.7,53,1.273333333,0.925600001,0.8228
1,-3.015577986,8.12,-3.276070522,3,1.81,2.66,3.0590368,-3.277171207,0.76,2.828384005,4.7,53,1.273333333,0.925600001,0.8307
1,-3.015577986,8.12,-3.276070522,3,1.81,2.66,3.0590368,-3.276070522,0.76,2.828384005,4.7,53,1.273333333,0.925600001,0.834
1,-3.015577986,8.12,-3.276070522,3,1.81,2.66,3.0590368,-3.154280889,0.76,2.828384005,4.7,53,1.273333333,0.925600001,0.8463
1,-3.015577986,8.12,-3.276070522,3,1.81,2.66,3.0590368,-3.689630919,0.76,2.828384005,4.7,53,1.273333333,0.925600001,0.8484
1,-3.534946316,9.1,-3.276070522,3,1.78,2.66,3.0590368,-3.400777446,0.94,2.527200004,4.7,53,1.273333333,0.925600001,1.2557
1,-3.534946316,9.1,-3.276070522,3,1.78,2.66,3.0590368,-3.277171207,0.94,2.527200004,4.7,53,1.273333333,0.925600001,1.2666
1,-3.534946316,9.1,-3.276070522,3,1.78,2.66,3.0590368,-3.276070522,0.94,2.527200004,4.7,53,1.273333333,0.925600001,1.2756
1,-3.534946316,9.1,-3.276070522,3,1.78,2.66,3.0590368,-3.154280889,0.94,2.527200004,4.7,53,1.273333333,0.925600001,1.2903
1,-3.534946316,9.1,-3.276070522,3,1.78,2.66,3.0590368,-3.689630919,0.94,2.527200004,4.7,53,1.273333333,0.925600001,1.2948
1,-3.823327814,6.8,-3.276070522,3,1.61,2.66,3.0590368,-3.400777446,0.675,3.441360006,4.7,53,1.273333333,0.925600001,1.7421
1,-3.046107912,17.8,-3.276070522,3,1.36,2.66,3.0590368,-3.689630919,0.885,3.929120006,4.7,53,1.273333333,0.925600001,2.2749
1,-2.709008248,6.6,-3.276070522,5,2.05,2.66,3.0590368,-3.689630919,0.83,2.749760004,4.7,53,1.273333333,0.925600001,2.2805
1,-3.046107912,17.8,-3.276070522,3,1.36,2.66,3.0590368,-3.154280889,0.885,3.929120006,4.7,53,1.273333333,0.925600001,2.2816
1,-3.046107912,17.8,-3.276070522,3,1.36,2.66,3.0590368,-3.277171207,0.885,3.929120006,4.7,53,1.273333333,0.925600001,2.3381
1,-2.709008248,6.6,-3.276070522,5,2.05,2.66,3.0590368,-3.400777446,0.83,2.749760004,4.7,53,1.273333333,0.925600001,2.3455
1,-3.046107912,17.8,-3.276070522,3,1.36,2.66,3.0590368,-3.400777446,0.885,3.929120006,4.7,53,1.273333333,0.925600001,2.3499
1,-2.709008248,6.6,-3.276070522,5,2.05,2.66,3.0590368,-3.277171207,0.83,2.749760004,4.7,53,1.273333333,0.925600001,2.3519
1,-2.709008248,6.6,-3.276070522,5,2.05,2.66,3.0590368,-3.276070522,0.83,2.749760004,4.7,53,1.273333333,0.925600001,2.3552
1,-2.628635934,7.4,-3.276070522,5,2.02,2.66,3.0590368,-3.689630919,1.035,2.179840003,4.7,53,1.273333333,0.925600001,2.4054
1,-2.628635934,7.4,-3.276070522,5,2.02,2.66,3.0590368,-3.154280889,1.035,2.179840003,4.7,53,1.273333333,0.925600001,2.4267
1,-4.29223865,6.6,-4.540020928,5,2.05,3.98,3.4011897,-5.73747418,0.83,2.749760004,0.557,9,0.705,0.925600001,2.5607
1,-2.628635934,7.4,-3.276070522,5,2.02,2.66,3.0590368,-3.400777446,1.035,2.179840003,4.7,53,1.273333333,0.925600001,2.5729
1,-2.628635934,7.4,-3.276070522,5,2.02,2.66,3.0590368,-3.277171207,1.035,2.179840003,4.7,53,1.273333333,0.925600001,2.5862
1,-2.628635934,7.4,-3.276070522,5,2.02,2.66,3.0590368,-3.276070522,1.035,2.179840003,4.7,53,1.273333333,0.925600001,2.5918
1,-4.29223865,6.6,-4.540020928,5,2.05,3.98,3.4011897,-4.55891026,0.83,2.749760004,0.557,9,0.705,0.925600001,2.6509
1,-4.29223865,6.6,-4.540020928,5,2.05,3.98,3.4011897,-4.699781335,0.83,2.749760004,0.557,9,0.705,0.925600001,4.1987
1,-5.617144145,8.12,-4.540020928,3,1.81,3.98,3.4011897,-5.73747418,0.76,2.828384005,0.557,9,0.705,0.925600001,4.9068
1,-5.363237215,9.1,-4.540020928,3,1.78,3.98,3.4011897,-4.393533774,0.94,2.527200004,0.557,9,0.705,0.925600001,5.3244
1,-5.363237215,9.1,-4.540020928,3,1.78,3.98,3.4011897,-4.699781335,0.94,2.527200004,0.557,9,0.705,0.925600001,5.4939
1,-5.617144145,8.12,-4.540020928,3,1.81,3.98,3.4011897,-4.699781335,0.76,2.828384005,0.557,9,0.705,0.925600001,6.0556
1,-5.617144145,8.12,-4.540020928,3,1.81,3.98,3.4011897,-4.540020928,0.76,2.828384005,0.557,9,0.705,0.925600001,5.7933
9,-2.837114098,4.8,-1.921753201,10,2.2,3.16,3.612725,-4.684686849,0.84625,3.916640006,2.18,17,0.78,4.437680007,0.0008
9,-3.89903072,5.5,-1.921753201,6,2.1,3.16,3.612725,-4.684686849,1.293333333,2.044640003,2.18,17,0.78,4.437680007,0.0048
10,-2.013153862,4.8,-5.262083316,10,2.2,2.96,3.3635882,-4.273256801,0.84625,3.916640006,3.05,35,0.8825,4.473040007,0.0
10,-3.656626969,5.5,-5.262083316,6,2.1,2.96,3.3635882,-4.273256801,1.293333333,2.044640003,3.05,35,0.8825,4.473040007,0.5815
9,-3.656626969,5.5,-1.125609138,6,2.1,2.96,3.3635882,-3.629490255,1.293333333,2.044640003,3.05,35,0.8825,4.437680007,0.0099
